2013-09-01T13:54:51+01:00 DEBUG (7): {"errorCode":401,"errorMsg":"Unauthorized"}
2013-09-01T13:55:40+01:00 DEBUG (7): {"errorCode":401,"errorMsg":"Unauthorized"}
2013-09-01T13:55:50+01:00 DEBUG (7): {"errorCode":401,"errorMsg":"Unauthorized"}
2013-09-01T13:56:12+01:00 DEBUG (7): {"errorCode":401,"errorMsg":"Unauthorized"}
2013-09-01T13:56:18+01:00 DEBUG (7): {"errorCode":401,"errorMsg":"Unauthorized"}
2013-09-01T13:56:33+01:00 DEBUG (7): {"errorCode":401,"errorMsg":"Unauthorized"}
2013-09-01T16:59:37+01:00 DEBUG (7): {"errorCode":401,"errorMsg":"Unauthorized"}
2015-03-24T18:11:51-04:00 DEBUG (7): {"errorCode":2002,"errorMsg":"Connect Error: SQLSTATE[HY000] [2002] No connection could be made because the target machine actively refused it.\r\n"}
2015-03-24T18:12:03-04:00 DEBUG (7): {"errorCode":2002,"errorMsg":"Connect Error: SQLSTATE[HY000] [2002] No connection could be made because the target machine actively refused it.\r\n"}
2015-03-24T18:12:16-04:00 DEBUG (7): {"errorCode":2002,"errorMsg":"Connect Error: SQLSTATE[HY000] [2002] No connection could be made because the target machine actively refused it.\r\n"}
2015-03-24T18:12:47-04:00 DEBUG (7): {"errorCode":2002,"errorMsg":"Connect Error: SQLSTATE[HY000] [2002] No connection could be made because the target machine actively refused it.\r\n"}
2015-03-24T18:12:53-04:00 DEBUG (7): {"errorCode":2002,"errorMsg":"Connect Error: SQLSTATE[HY000] [2002] No connection could be made because the target machine actively refused it.\r\n"}
2015-03-24T18:12:58-04:00 DEBUG (7): {"errorCode":2002,"errorMsg":"Connect Error: SQLSTATE[HY000] [2002] No connection could be made because the target machine actively refused it.\r\n"}
2015-03-24T18:13:02-04:00 DEBUG (7): {"errorCode":2002,"errorMsg":"Connect Error: SQLSTATE[HY000] [2002] No connection could be made because the target machine actively refused it.\r\n"}
2015-03-24T18:13:07-04:00 DEBUG (7): {"errorCode":2002,"errorMsg":"Connect Error: SQLSTATE[HY000] [2002] No connection could be made because the target machine actively refused it.\r\n"}
2015-03-24T18:13:14-04:00 DEBUG (7): {"errorCode":2002,"errorMsg":"Connect Error: SQLSTATE[HY000] [2002] No connection could be made because the target machine actively refused it.\r\n"}
